date,carrot,tomato,enoki,cabbage,radish,carrot_pred_Ridge,tomato_pred_Ridge,enoki_pred_Ridge,cabbage_pred_Ridge,radish_pred_Ridge,carrot_pred_RandomForest,tomato_pred_RandomForest,enoki_pred_RandomForest,cabbage_pred_RandomForest,radish_pred_RandomForest,carrot_pred_LGBM,tomato_pred_LGBM,enoki_pred_LGBM,cabbage_pred_LGBM,radish_pred_LGBM,carrot_pred_XGBoost,tomato_pred_XGBoost,enoki_pred_XGBoost,cabbage_pred_XGBoost,radish_pred_XGBoost,carrot_pred_MLP,tomato_pred_MLP,enoki_pred_MLP,cabbage_pred_MLP,radish_pred_MLP,carrot_pred_average,tomato_pred_average,enoki_pred_average,cabbage_pred_average,radish_pred_average,carrot_pred_stack,tomato_pred_stack,enoki_pred_stack,cabbage_pred_stack,radish_pred_stack
2016-01-01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,804.0,1621.0,1474.0,329.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,794.0,1834.0,1750.0,478.0,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,763.0,1833.0,1822.0,442.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,787.0,1999.0,1519.0,442.0,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,770.0,1921.0,1365.0,448.0,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,705.0,2107.0,1349.0,420.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,728.0,2111.0,1273.0,389.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,750.0,2170.0,1351.0,398.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,735.0,2281.0,1323.0,431.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,706.0,2488.0,1272.0,429.0,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,692.0,2344.0,1337.0,441.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,748.0,2436.0,1379.0,449.0,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-16,733.0,2473.0,1399.0,454.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-17,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,875.0,2513.0,1448.0,475.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,809.0,2587.0,1431.0,511.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-20,805.0,2498.0,1377.0,511.0,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,829.0,2629.0,1346.0,573.0,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,840.0,2752.0,1336.0,626.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-23,778.0,2552.0,1369.0,615.0,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-25,813.0,2640.0,1562.0,641.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-26,808.0,2763.0,1545.0,623.0,637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-27,847.0,2831.0,1599.0,641.0,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,831.0,2743.0,1745.0,651.0,609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,877.0,2999.0,1826.0,625.0,743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-30,873.0,2966.0,1946.0,733.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,1000.0,0.0,0.0,1048.0,767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,889.0,3089.0,2047.0,638.0,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-02,873.0,2892.0,2088.0,597.0,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-03,846.0,3176.0,2122.0,675.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-04,815.0,3120.0,2161.0,607.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-05,821.0,3168.0,2081.0,601.0,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-06,842.0,2726.0,1971.0,662.0,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-07,662.0,2287.0,1820.0,1517.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-08,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-10,0.0,1752.0,1900.0,5000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-11,878.0,2884.0,2049.0,628.0,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-12,838.0,2543.0,1645.0,610.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
